time_seconds,flux_w_m2
0.0,0.0
3600.0,0.0
7200.0,0.0
10800.0,0.0
14400.0,0.0
18000.0,0.0
21600.0,4.0
25200.0,63.0
28800.0,158.0
32400.0,319.0
36000.0,426.0
39600.0,519.0
43200.0,530.0
46800.0,586.0
50400.0,578.0
54000.0,455.0
57600.0,217.0
61200.0,113.0
64800.0,36.0
68400.0,1.0
72000.0,0.0
75600.0,0.0
79200.0,0.0
82800.0,0.0
86400.0,0.0
90000.0,0.0
93600.0,0.0
97200.0,0.0
100800.0,0.0
104400.0,0.0
108000.0,4.0
111600.0,66.0
115200.0,222.0
118800.0,359.0
122400.0,355.0
126000.0,530.0
129600.0,627.0
133200.0,564.0
136800.0,478.0
140400.0,305.0
144000.0,218.0
147600.0,132.0
151200.0,44.0
154800.0,1.0
158400.0,0.0
162000.0,0.0
165600.0,0.0
169200.0,0.0
172800.0,0.0
176400.0,0.0
180000.0,0.0
183600.0,0.0
187200.0,0.0
190800.0,0.0
194400.0,3.0
198000.0,63.0
201600.0,160.0
205200.0,258.0
208800.0,383.0
212400.0,470.0
216000.0,711.0
219600.0,772.0
223200.0,558.0
226800.0,401.0
230400.0,227.0
234000.0,138.0
237600.0,52.0
241200.0,1.0
244800.0,0.0
248400.0,0.0
252000.0,0.0
255600.0,0.0
259200.0,0.0
262800.0,0.0
266400.0,0.0
270000.0,0.0
273600.0,0.0
277200.0,0.0
280800.0,3.0
284400.0,54.0
288000.0,139.0
291600.0,186.0
295200.0,408.0
298800.0,596.0
302400.0,677.0
306000.0,688.0
309600.0,628.0
313200.0,501.0
316800.0,342.0
320400.0,194.0
324000.0,69.0
327600.0,5.0
331200.0,0.0
334800.0,0.0
338400.0,0.0
342000.0,0.0
345600.0,0.0
349200.0,0.0
352800.0,0.0
356400.0,0.0
360000.0,0.0
363600.0,0.0
367200.0,14.0
370800.0,81.0
374400.0,181.0
378000.0,314.0
381600.0,478.0
385200.0,617.0
388800.0,687.0
392400.0,689.0
396000.0,622.0
399600.0,493.0
403200.0,333.0
406800.0,181.0
410400.0,56.0
414000.0,3.0
417600.0,0.0
421200.0,0.0
424800.0,0.0
428400.0,0.0
432000.0,0.0
435600.0,0.0
439200.0,0.0
442800.0,0.0
446400.0,0.0
450000.0,0.0
453600.0,13.0
457200.0,77.0
460800.0,172.0
464400.0,286.0
468000.0,420.0
471600.0,541.0
475200.0,632.0
478800.0,679.0
482400.0,649.0
486000.0,543.0
