node,heat_generation_W
ESC,294.39306532451224
Batt_BF_Top,204.20522691199722
Batt_BF_Bot,204.20522691199722
Batt_BM_Top,204.20522691199722
Batt_BM_Bot,204.20522691199722
Batt_BR_Top,204.20522691199722
Batt_BR_Bot,204.20522691199722
