node,heat_rejection_W
plateM,626.1911358786635
plateT,308.6042923598888
plateB,308.6042923598888
ESC_Mount,257.3505509914652
Top_Shell_Ext,25.33346959875303
Bot_Shell_Ext,25.33346959875303
