Node,Temp_K,Temp_C,Conduction_Net_W,Convection_Net_W,Radiation_Net_W,Total_Net_W,Total_Gain_W,Total_Loss_W,Dominant_Gain_Mode,Dominant_Loss_Mode
Batt_BF_Top,315.0,41.85000000000002,0.0,1.2942703121665438,-5.5760343832383965,-4.281764071071853,1.2942703121665438,5.5760343832383965,Convection,Radiation
Batt_BF_Bot,315.0,41.85000000000002,0.0,1.2942703121665438,-5.5760343832383965,-4.281764071071853,1.2942703121665438,5.5760343832383965,Convection,Radiation
Batt_BM_Top,315.0,41.85000000000002,0.0,1.2942703121665438,-5.5760343832383965,-4.281764071071853,1.2942703121665438,5.5760343832383965,Convection,Radiation
Batt_BM_Bot,315.0,41.85000000000002,0.0,1.2942703121665438,-5.5760343832383965,-4.281764071071853,1.2942703121665438,5.5760343832383965,Convection,Radiation
Batt_BR_Top,315.0,41.85000000000002,0.0,1.2942703121665438,-5.5760343832383965,-4.281764071071853,1.2942703121665438,5.5760343832383965,Convection,Radiation
Batt_BR_Bot,315.0,41.85000000000002,0.0,1.2942703121665438,-5.5760343832383965,-4.281764071071853,1.2942703121665438,5.5760343832383965,Convection,Radiation
ESC,390.0,116.85000000000002,489.97499999999997,-4.556283373629058,39.0844293587931,524.503145985164,529.0594293587931,4.556283373629058,Conduction,Convection
ESC_Mount,315.0,41.85000000000002,-489.97499999999997,0.08120016738000002,0.0,-489.89379983261995,0.08120016738000002,489.97499999999997,Convection,Conduction
BH_1,315.0,41.85000000000002,0.0,0.47434415711392386,0.0,0.47434415711392386,0.47434415711392386,0.0,Convection,None
BH_2,315.0,41.85000000000002,0.0,0.47434415711392386,0.0,0.47434415711392386,0.47434415711392386,0.0,Convection,None
BH_3,315.0,41.85000000000002,0.0,0.47434415711392386,0.0,0.47434415711392386,0.47434415711392386,0.0,Convection,None
BH_4,315.0,41.85000000000002,0.0,0.47434415711392386,0.0,0.47434415711392386,0.47434415711392386,0.0,Convection,None
plateT,315.0,41.85000000000002,0.0,1.8663601204005695,0.0,1.8663601204005695,1.8663601204005695,0.0,Convection,None
plateM,315.0,41.85000000000002,0.0,1.01366412133644,0.0,1.01366412133644,1.01366412133644,0.0,Convection,None
plateB,315.0,41.85000000000002,0.0,1.8663601204005695,0.0,1.8663601204005695,1.8663601204005695,0.0,Convection,None
Top_Shell_Int,315.0,41.85000000000002,1.626,2.1121879966403023,-5.628223059362728,-1.890035062722426,3.738187996640302,5.628223059362728,Convection,Radiation
Top_Shell_Ext,310.0,36.85000000000002,-1.626,-61.58023475477361,0.0,-63.20623475477361,0.0,63.20623475477361,None,Convection
Bot_Shell_Int,315.0,41.85000000000002,1.626,2.1121879966403023,0.0,3.738187996640302,3.738187996640302,0.0,Convection,None
Bot_Shell_Ext,310.0,36.85000000000002,-1.626,-61.58023475477361,0.0,-63.20623475477361,0.0,63.20623475477361,None,Convection
Internal_air,318.0,44.85000000000002,0.0,0.0,0.0,0.0,0.0,0.0,None,None
